name,lat,lon,country,name_slug
Летница,43.3162555,25.0592785,BG,
Долно село,42.2986157,22.4967535,MK,
Костандово,42.0356741,24.0704378,BG,
Цветино,42.0114477,23.8680613,BG,
Септември,42.2040862,24.1317263,BG,
Стрелча,42.4928896,24.3309607,BG,
Разменна,42.7109939,23.0282681,BG,
Младост 3,42.6465261,23.3837288,BG,3
Калояново,42.3341979,24.7555724,BG,
Труд,42.2302308,24.7239101,BG,
Пирот,43.1699646,22.5864658,RS,
Батановци,42.5954734,22.9536343,BG,
Хан Кубрат,42.7226651,23.3067769,BG,
Надежда,42.7280736,23.3008869,BG,
Бели Дунав,42.7361469,23.2920282,BG,
Ломско шосе,42.7404844,23.287282,BG,
Драгоман,42.9221887,22.9318242,BG,
Костинброд сп.,42.7923893,23.2093961,BG,
Панагюрище,42.4920655,24.1968517,BG,
Дългопол,43.0479273,27.341002,BG,
сп. Ябълково,42.0768945,25.44563,BG,
Катуница,42.1015957,24.875722,BG,
сп. Ягодово,42.1000644,24.8466674,BG,
Димитровград,43.0111291,22.7648827,RS,
Кремиковци,42.7516528,23.485635,BG,
Антон,42.7290637,24.2472763,BG,
Атолово,42.595973,26.7340762,BG,
Байково,43.4651212,26.8469528,BG,
Бобошево,42.1584567,23.0374075,BG,
Златуша,42.7655209,23.0398643,BG,
Долно Езерово,42.5163809,27.3606576,BG,
Владимир Павлов,42.5022882,27.4575061,BG,
Бургас Разпределителна,42.5167867,27.4236945,BG,
Бутово,43.302586,25.2171103,BG,
Българово,42.5958706,27.3020822,BG,
Веринско,42.4955326,23.769157,BG,
Висока поляна,43.4693131,26.7700559,BG,
Вълчи дол,43.4048799,27.5588001,BG,
Горни Дъбник,43.3801344,24.3443728,BG,
Градище,43.3262292,25.208724,BG,
Граф Игнатиево,42.2840389,24.7321279,BG,
Гълъбник,42.4131592,23.0850637,BG,
Джулюница,43.1607667,25.8829668,BG,
Дралфа,43.331564,26.4340744,BG,
Езерово,43.197472,27.7688995,BG,
Жабляно,42.4909474,22.7904678,BG,
Черниче,41.860101,23.1288537,BG,
Симитли,41.8842411,23.1070022,BG,
Железница,41.9253737,23.1048865,BG,
Житница,43.1104186,27.5228329,BG,
Балкан,43.0539472,23.3626238,BG,
ЖП школа - Лакатник,43.0864143,23.3926016,BG,
Оселна,43.0769443,23.5404828,BG,
Зверино,43.0811568,23.5712936,BG,
Ребърково,43.1141241,23.675252,BG,
Мездра юг,43.1315194,23.7038554,BG,
Звъничево,42.187381,24.2406459,BG,
Здравец,43.2892804,26.4994099,BG,
Калитиново,42.4269865,25.7315691,BG,
Каменец,43.3627389,25.00631,BG,
Търнак,42.9365148,27.2177471,BG,
Караджалово,42.1025626,25.3205575,BG,
Караджата,43.3063399,26.3124804,BG,
Радомир,42.5387449,22.9520606,BG,
Копиловци,42.3313076,22.7331478,BG,
Карлуково,43.1888557,24.071275,BG,
Каспичан,43.3116258,27.1670225,BG,
ж.п гара Кермен,42.498094,26.2636811,BG,
Кесарево,43.1684605,25.9293913,BG,
Козаревец,43.1386671,25.8176885,BG,
Комунари,43.0064957,27.290366,BG,
Световрачене,42.7831147,23.3814234,BG,
Локорско,42.7679878,23.4346922,BG,
Яна,42.7262344,23.5513307,BG,
Столник,42.7055411,23.632215,BG,
Саранци,42.7156308,23.7567652,BG,
Чеканчево,42.7079099,23.7739834,BG,
Мирково,42.7034602,23.9968253,BG,
Челопеч,42.6981208,24.0766562,BG,
Пирдоп,42.7099151,24.1741102,BG,
Розино,42.7157891,24.539388,BG,
Сопот,42.6417214,24.7423814,BG,
Яхиново,42.2875721,23.1288712,BG,
Мурсалево,42.1174554,23.03829,BG,
Кочериново,42.0808105,23.0373996,BG,
Кочово,43.2233301,26.7945727,BG,
Крушето,43.2421234,25.6690837,BG,
Куцина,43.2686652,25.6468078,BG,
Лесичери,43.2007526,25.4157421,BG,
Ловец,43.2569673,26.6934054,BG,
Медовина,43.3171887,26.1821743,BG,
Пордим,43.3863418,24.8475184,BG,
Михалци-Стамболово,43.2159579,25.3608076,BG,
Русаля Дичин,43.1933267,25.4710831,BG,
Ресен,43.1814953,25.5640538,BG,
Поликраище,43.1675816,25.6201324,BG,
Мокрище,42.1803239,24.2932275,BG,
Монтана,43.4084098,23.2300539,BG,
Морава,43.4530086,25.206585,BG,
Невша,43.2490837,27.2843491,BG,
Равна,43.2346417,27.3457349,BG,
Синдел Разпределителна,43.1231248,27.5985512,BG,
Тръстиково,43.1437431,27.6030106,BG,
Страшимирово,43.1975796,27.74085,BG,
Моряк,43.1909498,27.7585747,BG,
Тополите,43.2001483,27.8105282,BG,
Надарево,43.2454275,26.7591162,BG,
Черганово,42.588489,25.4747329,BG,
Охрид,43.4524141,23.3656841,BG,
Петко Каравелово,43.299006,25.6397512,BG,
